FlightNumber,Departure,DepartureCode,Arrival,ArrivalCode,Duration,Airline,Aircraft,Category,Price,SeatCapacity,AvailableSeats,DepartureDate,DepartureHour,ArrivalDate,ArrivalHour
QA472,New York,JFK,Jakarta,CGK,14963,Emirates,Boeing 737,First Class,902.32,184,144,2025-06-01,23:16:07,2025-06-02,03:25:30
QA732,London,LHR,Tokyo,HND,16647,Emirates,Boeing 787,Economy,224.66,143,34,2025-05-29,05:12:49,2025-05-29,09:50:16
GA369,Sydney,SYD,Jakarta,CGK,13907,Emirates,Airbus A380,Economy,112.94,199,30,2025-04-04,17:41:07,2025-04-04,21:32:54
SI469,Madrid,MAD,Dubai,DXB,17499,Garuda Indonesia,Airbus A320,Business,837.15,102,78,2025-05-10,12:01:17,2025-05-10,16:52:56
AI627,Dubai,DXB,Sydney,SYD,16213,Singapore Airlines,Boeing 737,Economy,250.08,122,102,2025-04-04,06:17:05,2025-04-04,10:47:18
SI329,Dubai,DXB,London,LHR,17860,Garuda Indonesia,Boeing 737,Economy,147.24,165,123,2025-04-14,08:44:39,2025-04-14,13:42:19
GA231,Madrid,MAD,Dubai,DXB,12059,AirAsia,Airbus A380,Premium Economy,446.9,115,91,2025-03-27,13:18:55,2025-03-27,16:39:54
EM962,New York,JFK,Jakarta,CGK,12600,Singapore Airlines,Boeing 777,First Class,958.33,196,57,2025-05-01,18:29:16,2025-05-01,21:59:16
QA877,London,LHR,Madrid,MAD,10107,AirAsia,Airbus A320,Economy,218.15,125,112,2025-03-29,19:14:35,2025-03-29,22:03:02
SI976,Sydney,SYD,Dubai,DXB,11416,Singapore Airlines,Boeing 787,Business,727.58,101,53,2025-04-26,06:36:59,2025-04-26,09:47:15
QA493,Sydney,SYD,Madrid,MAD,7915,Singapore Airlines,Airbus A320,First Class,947.24,200,78,2025-03-05,21:39:54,2025-03-05,23:51:49
AI948,Jakarta,CGK,Tokyo,HND,15917,Garuda Indonesia,Boeing 737,Premium Economy,333.02,131,112,2025-05-07,23:40:19,2025-05-08,04:05:36
EM163,London,LHR,Madrid,MAD,11625,Singapore Airlines,Boeing 737,Premium Economy,377.75,194,92,2025-05-28,06:48:57,2025-05-28,10:02:42
EM252,Madrid,MAD,Dubai,DXB,16952,Garuda Indonesia,Boeing 787,Business,651.94,159,125,2025-05-08,13:18:07,2025-05-08,18:00:39
QA896,Dubai,DXB,Tokyo,HND,13865,Garuda Indonesia,Boeing 787,Premium Economy,577.82,104,77,2025-05-03,05:41:59,2025-05-03,09:33:04
EM973,Jakarta,CGK,London,LHR,8533,Emirates,Boeing 737,Business,811.64,178,159,2025-04-20,23:13:08,2025-04-21,01:35:21
EM836,Jakarta,CGK,Dubai,DXB,7515,Garuda Indonesia,Boeing 737,First Class,959.67,105,51,2025-03-07,06:49:25,2025-03-07,08:54:40
GA263,Dubai,DXB,Jakarta,CGK,16310,Garuda Indonesia,Airbus A320,First Class,924.01,137,99,2025-05-26,21:55:33,2025-05-27,02:27:23
SI914,Jakarta,CGK,Madrid,MAD,17357,Singapore Airlines,Boeing 737,Economy,208.23,196,195,2025-03-17,12:56:01,2025-03-17,17:45:18
GA826,New York,JFK,Madrid,MAD,15457,Garuda Indonesia,Boeing 787,Economy,273.98,134,17,2025-05-15,16:52:04,2025-05-15,21:09:41
AI489,Dubai,DXB,London,LHR,11986,Qatar Airways,Airbus A380,Business,644.86,120,50,2025-04-21,23:27:15,2025-04-22,02:47:01
QA433,Tokyo,HND,Jakarta,CGK,13756,Garuda Indonesia,Boeing 787,Economy,293.37,187,59,2025-05-19,21:01:08,2025-05-20,00:50:24
QA245,London,LHR,Jakarta,CGK,9638,Garuda Indonesia,Airbus A320,First Class,920.86,122,62,2025-05-18,15:42:50,2025-05-18,18:23:28
GA719,Sydney,SYD,Madrid,MAD,9570,Emirates,Airbus A380,First Class,904.21,125,30,2025-04-17,09:19:04,2025-04-17,11:58:34
EM396,New York,JFK,Jakarta,CGK,17907,AirAsia,Boeing 777,Premium Economy,425.45,172,34,2025-03-24,03:22:26,2025-03-24,08:20:53
QA266,Sydney,SYD,Jakarta,CGK,14631,Qatar Airways,Airbus A320,Premium Economy,527.79,164,46,2025-03-31,19:10:10,2025-03-31,23:14:01
EM634,New York,JFK,Sydney,SYD,14645,Qatar Airways,Boeing 787,First Class,998.37,142,80,2025-05-20,14:38:06,2025-05-20,18:42:11
AI428,London,LHR,New York,JFK,14701,Garuda Indonesia,Boeing 777,First Class,958.23,157,13,2025-03-11,07:32:49,2025-03-11,11:37:50
AI220,Jakarta,CGK,Tokyo,HND,14128,Qatar Airways,Airbus A380,Economy,169.79,149,89,2025-04-13,08:32:44,2025-04-13,12:28:12
EM871,Dubai,DXB,New York,JFK,11971,Emirates,Boeing 787,First Class,949.6,127,106,2025-03-11,04:48:00,2025-03-11,08:07:31
EM547,Jakarta,CGK,Dubai,DXB,15837,Qatar Airways,Boeing 787,First Class,957.44,132,82,2025-04-13,03:38:33,2025-04-13,08:02:30
SI526,London,LHR,New York,JFK,7390,Singapore Airlines,Airbus A380,First Class,970.34,144,120,2025-04-04,05:56:35,2025-04-04,07:59:45
SI449,Madrid,MAD,Jakarta,CGK,11893,Emirates,Airbus A320,Business,704.67,136,79,2025-04-26,22:28:44,2025-04-27,01:46:57
AI676,London,LHR,Dubai,DXB,8367,AirAsia,Boeing 787,Premium Economy,438.31,114,63,2025-04-25,01:31:02,2025-04-25,03:50:29
AI416,London,LHR,Madrid,MAD,12280,Emirates,Boeing 777,Premium Economy,347.62,189,165,2025-04-16,12:34:04,2025-04-16,15:58:44
SI564,Madrid,MAD,New York,JFK,16699,Singapore Airlines,Boeing 777,Economy,292.16,160,42,2025-03-13,17:45:04,2025-03-13,22:23:23
QA370,Madrid,MAD,New York,JFK,8643,AirAsia,Airbus A320,Business,882.23,102,80,2025-03-07,16:58:23,2025-03-07,19:22:26
AI440,Jakarta,CGK,Sydney,SYD,7335,AirAsia,Boeing 777,First Class,960.65,182,13,2025-05-21,01:42:06,2025-05-21,03:44:21
EM291,Tokyo,HND,New York,JFK,15846,Garuda Indonesia,Airbus A380,Premium Economy,404.23,150,107,2025-03-13,04:15:00,2025-03-13,08:39:06
GA620,New York,JFK,Madrid,MAD,10353,Singapore Airlines,Airbus A380,First Class,920.45,125,15,2025-05-15,11:06:03,2025-05-15,13:58:36
EM600,London,LHR,Madrid,MAD,8100,Emirates,Boeing 777,Business,843.03,183,170,2025-03-20,12:37:53,2025-03-20,14:52:53
GA665,Jakarta,CGK,London,LHR,11366,Emirates,Airbus A380,Premium Economy,529.43,188,92,2025-05-14,03:50:25,2025-05-14,06:59:51
AI748,Dubai,DXB,Jakarta,CGK,10492,AirAsia,Boeing 737,First Class,984.02,123,47,2025-04-08,17:03:32,2025-04-08,19:58:24
QA111,Madrid,MAD,London,LHR,10926,Singapore Airlines,Airbus A380,First Class,970.2,192,117,2025-03-10,11:09:24,2025-03-10,14:11:30
QA780,Sydney,SYD,Jakarta,CGK,13401,Qatar Airways,Boeing 777,Business,873.51,124,37,2025-05-12,11:21:20,2025-05-12,15:04:41
AI578,Tokyo,HND,Sydney,SYD,14690,Garuda Indonesia,Boeing 777,Economy,169.15,153,73,2025-04-10,21:39:22,2025-04-11,01:44:12
QA589,Tokyo,HND,New York,JFK,15979,Emirates,Boeing 787,Premium Economy,542.31,112,15,2025-04-15,23:25:43,2025-04-16,03:52:02
EM872,Madrid,MAD,Sydney,SYD,16646,AirAsia,Boeing 737,Economy,255.07,154,91,2025-06-03,08:47:49,2025-06-03,13:25:15
GA812,New York,JFK,Sydney,SYD,11725,Emirates,Boeing 737,First Class,915.62,176,150,2025-05-05,20:02:14,2025-05-05,23:17:39
SI106,New York,JFK,Sydney,SYD,16495,Garuda Indonesia,Boeing 737,Premium Economy,521.61,126,101,2025-04-19,06:47:01,2025-04-19,11:21:56
SI334,Tokyo,HND,Dubai,DXB,15837,Emirates,Boeing 777,Economy,198.95,167,70,2025-05-12,20:29:25,2025-05-13,00:53:22
EM293,Sydney,SYD,London,LHR,14150,Singapore Airlines,Boeing 777,Economy,253.09,160,44,2025-05-01,18:42:05,2025-05-01,22:37:55
QA407,Dubai,DXB,Madrid,MAD,8704,Emirates,Airbus A320,Business,632.11,124,48,2025-04-04,12:12:46,2025-04-04,14:37:50
SI904,New York,JFK,Madrid,MAD,9666,AirAsia,Airbus A380,Business,628.7,105,48,2025-03-14,07:49:49,2025-03-14,10:30:55
QA871,London,LHR,Dubai,DXB,10157,Singapore Airlines,Boeing 737,Business,619.51,112,34,2025-05-12,05:49:18,2025-05-12,08:38:35
SI446,Madrid,MAD,New York,JFK,14574,Singapore Airlines,Boeing 777,Business,632.14,111,35,2025-04-22,04:19:46,2025-04-22,08:22:40
AI150,Sydney,SYD,Tokyo,HND,11539,AirAsia,Airbus A320,Premium Economy,308.84,149,27,2025-04-23,00:15:17,2025-04-23,03:27:36
EM400,New York,JFK,Tokyo,HND,9851,Emirates,Boeing 777,First Class,938.85,186,29,2025-03-13,04:14:20,2025-03-13,06:58:31
SI593,London,LHR,New York,JFK,13906,Qatar Airways,Boeing 737,First Class,947.01,163,133,2025-05-04,01:37:47,2025-05-04,05:29:33
QA612,New York,JFK,Dubai,DXB,11919,Emirates,Airbus A320,First Class,975.42,189,35,2025-05-22,04:51:40,2025-05-22,08:10:19
GA447,New York,JFK,Jakarta,CGK,7791,Qatar Airways,Boeing 777,Business,820.69,125,11,2025-05-04,14:45:10,2025-05-04,16:55:01
QA208,New York,JFK,London,LHR,17221,Emirates,Boeing 787,Economy,164.28,131,17,2025-06-02,21:51:32,2025-06-03,02:38:33
SI981,Dubai,DXB,London,LHR,16486,Emirates,Boeing 787,Premium Economy,308.37,189,85,2025-05-27,05:04:03,2025-05-27,09:38:49
AI823,Jakarta,CGK,Tokyo,HND,10765,AirAsia,Boeing 777,Premium Economy,335.86,190,42,2025-04-11,22:58:42,2025-04-12,01:58:07
GA813,London,LHR,Sydney,SYD,7851,Garuda Indonesia,Airbus A380,Business,836.28,134,22,2025-03-28,18:05:57,2025-03-28,20:16:48
QA952,Jakarta,CGK,London,LHR,12398,AirAsia,Boeing 787,Business,792.5,133,82,2025-05-31,13:37:03,2025-05-31,17:03:41
AI967,Sydney,SYD,New York,JFK,17519,Garuda Indonesia,Airbus A380,First Class,919.31,107,34,2025-04-01,07:44:28,2025-04-01,12:36:27
GA871,London,LHR,Dubai,DXB,11057,Qatar Airways,Airbus A380,First Class,925.87,190,44,2025-03-14,07:39:51,2025-03-14,10:44:08
QA141,London,LHR,Dubai,DXB,9229,Singapore Airlines,Airbus A380,Premium Economy,580.26,102,85,2025-03-10,23:18:04,2025-03-11,01:51:53
GA830,Tokyo,HND,Jakarta,CGK,16271,AirAsia,Boeing 787,Business,869.21,139,13,2025-05-29,17:24:10,2025-05-29,21:55:21
GA101,Jakarta,CGK,Sydney,SYD,12041,AirAsia,Airbus A380,Business,796.25,138,107,2025-05-24,10:33:51,2025-05-24,13:54:32
GA188,New York,JFK,Jakarta,CGK,17298,Emirates,Airbus A380,First Class,912.63,116,57,2025-04-13,03:33:48,2025-04-13,08:22:06
QA574,Tokyo,HND,Jakarta,CGK,15763,Emirates,Airbus A320,Economy,291.75,121,77,2025-03-26,12:29:46,2025-03-26,16:52:29
AI851,London,LHR,New York,JFK,14190,Singapore Airlines,Boeing 737,First Class,969.42,142,25,2025-05-27,18:25:53,2025-05-27,22:22:23
QA200,New York,JFK,Sydney,SYD,10234,Emirates,Airbus A320,Business,624.89,200,26,2025-03-07,23:49:47,2025-03-08,02:40:21
GA500,Sydney,SYD,Tokyo,HND,15475,Singapore Airlines,Boeing 787,Premium Economy,531.07,103,92,2025-05-04,04:11:33,2025-05-04,08:29:28
GA690,London,LHR,Tokyo,HND,10536,AirAsia,Boeing 737,First Class,918.26,187,173,2025-05-29,01:44:13,2025-05-29,04:39:49
QA966,New York,JFK,London,LHR,13108,Singapore Airlines,Boeing 787,Economy,276.83,137,67,2025-05-30,23:00:18,2025-05-31,02:38:46
AI564,Sydney,SYD,Jakarta,CGK,15917,Emirates,Boeing 787,First Class,939.17,103,74,2025-03-27,03:36:48,2025-03-27,08:02:05
GA942,Jakarta,CGK,Sydney,SYD,11022,Singapore Airlines,Airbus A320,Business,744.54,158,125,2025-04-11,08:52:02,2025-04-11,11:55:44
QA457,Jakarta,CGK,Tokyo,HND,14216,Qatar Airways,Airbus A320,Business,706.11,133,118,2025-03-06,01:54:28,2025-03-06,05:51:24
SI195,Dubai,DXB,Sydney,SYD,7899,Emirates,Boeing 777,Business,799.89,136,38,2025-05-11,04:36:15,2025-05-11,06:47:54
EM418,Dubai,DXB,London,LHR,7331,Emirates,Boeing 777,First Class,905.55,167,143,2025-04-21,23:11:26,2025-04-22,01:13:37
AI721,Madrid,MAD,London,LHR,9381,Singapore Airlines,Boeing 787,Premium Economy,574.52,161,110,2025-05-17,04:58:39,2025-05-17,07:35:00
EM520,London,LHR,Sydney,SYD,16773,Qatar Airways,Boeing 737,Economy,281.56,188,176,2025-04-11,10:29:21,2025-04-11,15:08:54
AI803,Tokyo,HND,Madrid,MAD,11837,Qatar Airways,Boeing 737,First Class,907.45,119,109,2025-05-04,07:57:43,2025-05-04,11:15:00
QA558,Jakarta,CGK,Sydney,SYD,17197,Singapore Airlines,Boeing 787,Business,603.15,135,133,2025-05-06,04:10:44,2025-05-06,08:57:21
GA744,Tokyo,HND,Jakarta,CGK,8015,Qatar Airways,Boeing 787,Business,719.49,140,14,2025-04-29,07:13:11,2025-04-29,09:26:46
QA475,Tokyo,HND,Sydney,SYD,11440,Singapore Airlines,Boeing 787,Business,680.68,163,38,2025-03-24,10:47:29,2025-03-24,13:58:09
EM459,London,LHR,Madrid,MAD,17897,Qatar Airways,Boeing 777,First Class,970.89,164,143,2025-04-16,03:02:14,2025-04-16,08:00:31
AI602,Dubai,DXB,Madrid,MAD,14995,Garuda Indonesia,Boeing 777,Economy,213.72,117,33,2025-05-01,06:14:39,2025-05-01,10:24:34
AI667,Jakarta,CGK,Dubai,DXB,10095,Qatar Airways,Airbus A320,Economy,168.91,111,95,2025-04-26,01:58:43,2025-04-26,04:46:58
SI695,Tokyo,HND,Dubai,DXB,14890,Qatar Airways,Airbus A380,First Class,947.08,100,63,2025-03-22,10:59:48,2025-03-22,15:07:58
SI273,New York,JFK,Sydney,SYD,12020,Qatar Airways,Boeing 787,Economy,241.94,132,50,2025-04-11,04:12:36,2025-04-11,07:32:56
GA736,Dubai,DXB,Sydney,SYD,12898,Garuda Indonesia,Airbus A380,Premium Economy,363.26,117,78,2025-05-29,00:05:53,2025-05-29,03:40:51
SI979,Dubai,DXB,Jakarta,CGK,9324,Garuda Indonesia,Airbus A320,Business,702.29,117,46,2025-05-29,16:20:17,2025-05-29,18:55:41
GA169,Tokyo,HND,Jakarta,CGK,14763,Singapore Airlines,Boeing 737,Business,747.16,117,103,2025-05-26,16:42:47,2025-05-26,20:48:50
SI586,Tokyo,HND,New York,JFK,8459,Garuda Indonesia,Airbus A380,Economy,198.37,198,161,2025-04-02,05:54:34,2025-04-02,08:15:33
QA188,New York,JFK,Jakarta,CGK,11035,Qatar Airways,Airbus A320,Economy,246.58,181,181,2025-04-14,18:29:22,2025-04-14,21:33:17
QA796,London,LHR,Jakarta,CGK,16369,Emirates,Boeing 787,Premium Economy,585.68,165,116,2025-04-06,01:13:33,2025-04-06,05:46:22
AI182,Tokyo,HND,Dubai,DXB,11023,Singapore Airlines,Airbus A320,Business,858.3,137,31,2025-03-15,01:58:30,2025-03-15,05:02:13
GA861,Madrid,MAD,New York,JFK,17852,Qatar Airways,Boeing 777,Business,863.12,195,32,2025-05-03,15:36:55,2025-05-03,20:34:27
GA328,Madrid,MAD,Jakarta,CGK,13439,Emirates,Boeing 787,Business,666.08,163,40,2025-06-03,09:45:36,2025-06-03,13:29:35
SI666,Sydney,SYD,Tokyo,HND,10692,AirAsia,Boeing 777,Business,882.29,150,118,2025-03-15,22:52:08,2025-03-16,01:50:20
SI818,New York,JFK,Sydney,SYD,16887,AirAsia,Airbus A320,First Class,985.81,126,28,2025-05-15,13:11:02,2025-05-15,17:52:29
AI593,New York,JFK,Madrid,MAD,10993,Garuda Indonesia,Airbus A380,Economy,180.41,135,23,2025-03-11,03:34:15,2025-03-11,06:37:28
AI639,Jakarta,CGK,New York,JFK,12451,Singapore Airlines,Boeing 777,Business,839.71,114,35,2025-04-02,03:36:08,2025-04-02,07:03:39
SI315,London,LHR,New York,JFK,7333,Emirates,Airbus A320,First Class,928.24,158,122,2025-04-20,17:20:08,2025-04-20,19:22:21
AI374,Dubai,DXB,Jakarta,CGK,9725,AirAsia,Boeing 787,Economy,202.97,162,47,2025-03-23,16:10:26,2025-03-23,18:52:31
QA470,London,LHR,New York,JFK,13290,Emirates,Airbus A320,Premium Economy,361.05,159,131,2025-05-18,08:02:44,2025-05-18,11:44:14
SI319,New York,JFK,Dubai,DXB,9806,Emirates,Airbus A380,Business,650.86,181,108,2025-03-20,09:04:08,2025-03-20,11:47:34
EM160,New York,JFK,Sydney,SYD,12365,Emirates,Boeing 777,Economy,122.64,116,64,2025-04-21,19:14:05,2025-04-21,22:40:10
QA389,Jakarta,CGK,London,LHR,7650,Emirates,Boeing 787,Economy,133.21,145,51,2025-03-10,00:16:27,2025-03-10,02:23:57
QA118,Madrid,MAD,New York,JFK,12373,Garuda Indonesia,Airbus A320,Premium Economy,564.96,129,108,2025-04-13,14:37:26,2025-04-13,18:03:39
GA198,Madrid,MAD,New York,JFK,7469,Garuda Indonesia,Boeing 787,First Class,996.91,174,47,2025-04-13,16:46:02,2025-04-13,18:50:31
QA494,Sydney,SYD,Tokyo,HND,16330,AirAsia,Airbus A380,Premium Economy,387.39,153,113,2025-04-24,21:15:55,2025-04-25,01:48:05
GA717,London,LHR,Jakarta,CGK,15078,Garuda Indonesia,Boeing 737,Business,695.16,131,52,2025-05-15,14:43:41,2025-05-15,18:54:59
AI329,Dubai,DXB,Madrid,MAD,13070,Emirates,Boeing 737,First Class,907.05,186,135,2025-03-11,02:50:21,2025-03-11,06:28:11
AI778,Madrid,MAD,Tokyo,HND,15407,Garuda Indonesia,Airbus A380,Economy,232.52,200,165,2025-05-06,08:04:27,2025-05-06,12:21:14
AI501,London,LHR,Sydney,SYD,16844,Emirates,Boeing 777,First Class,958.37,126,124,2025-04-15,08:12:41,2025-04-15,12:53:25
GA538,London,LHR,Dubai,DXB,10771,Singapore Airlines,Boeing 737,Economy,295.59,104,51,2025-03-21,23:31:23,2025-03-22,02:30:54
QA444,Madrid,MAD,London,LHR,14920,Qatar Airways,Boeing 777,Premium Economy,594.37,184,46,2025-04-03,13:15:32,2025-04-03,17:24:12
GA817,Sydney,SYD,New York,JFK,9775,Qatar Airways,Boeing 737,Business,865.3,170,155,2025-05-17,04:48:54,2025-05-17,07:31:49
AI707,Madrid,MAD,Tokyo,HND,11876,Qatar Airways,Boeing 737,Premium Economy,416.11,123,111,2025-04-01,07:20:57,2025-04-01,10:38:53
AI114,Dubai,DXB,London,LHR,17024,Garuda Indonesia,Boeing 777,Economy,279.47,153,47,2025-03-12,09:03:27,2025-03-12,13:47:11
GA845,London,LHR,Tokyo,HND,12796,Singapore Airlines,Airbus A380,Economy,151.42,194,58,2025-05-27,11:29:30,2025-05-27,15:02:46
SI180,London,LHR,Jakarta,CGK,17333,Qatar Airways,Boeing 737,First Class,925.71,192,27,2025-04-22,10:46:21,2025-04-22,15:35:14
AI758,New York,JFK,Jakarta,CGK,15181,Emirates,Boeing 787,Business,872.15,190,116,2025-05-03,20:39:30,2025-05-04,00:52:31
QA286,London,LHR,Madrid,MAD,17387,Qatar Airways,Airbus A380,Economy,227.69,116,77,2025-05-17,18:48:38,2025-05-17,23:38:25
QA694,Jakarta,CGK,New York,JFK,15089,Emirates,Airbus A380,First Class,916.25,155,149,2025-03-18,03:10:23,2025-03-18,07:21:52
AI180,Jakarta,CGK,Madrid,MAD,11373,Singapore Airlines,Airbus A320,Business,773.22,157,116,2025-05-17,11:36:05,2025-05-17,14:45:38
GA742,Madrid,MAD,Jakarta,CGK,7554,Garuda Indonesia,Airbus A320,First Class,955.06,186,89,2025-04-30,12:17:36,2025-04-30,14:23:30
EM449,Tokyo,HND,Madrid,MAD,16231,Qatar Airways,Airbus A320,First Class,989.52,164,146,2025-04-29,19:18:45,2025-04-29,23:49:16
GA230,Tokyo,HND,Madrid,MAD,12064,Garuda Indonesia,Boeing 787,Premium Economy,579.59,108,108,2025-03-14,08:11:22,2025-03-14,11:32:26
SI752,Jakarta,CGK,New York,JFK,8544,Garuda Indonesia,Boeing 737,Economy,159.61,140,130,2025-03-10,07:05:02,2025-03-10,09:27:26
EM746,Jakarta,CGK,Tokyo,HND,14237,Emirates,Boeing 777,Premium Economy,455.58,101,79,2025-03-28,00:18:52,2025-03-28,04:16:09
GA886,Tokyo,HND,New York,JFK,17353,Garuda Indonesia,Boeing 787,Premium Economy,395.13,119,72,2025-04-18,19:59:32,2025-04-19,00:48:45
GA714,Tokyo,HND,New York,JFK,12073,Emirates,Boeing 777,Economy,115.46,100,66,2025-05-14,18:42:07,2025-05-14,22:03:20
QA360,Tokyo,HND,Madrid,MAD,9032,AirAsia,Boeing 737,Premium Economy,475.5,169,164,2025-03-18,05:04:35,2025-03-18,07:35:07
GA841,Tokyo,HND,New York,JFK,10370,Qatar Airways,Boeing 777,Premium Economy,524.14,105,41,2025-05-23,04:01:13,2025-05-23,06:54:03
QA931,Tokyo,HND,Madrid,MAD,11119,AirAsia,Boeing 787,Economy,269.11,135,99,2025-04-15,01:09:44,2025-04-15,04:15:03
SI554,Tokyo,HND,Sydney,SYD,15514,Garuda Indonesia,Boeing 787,Premium Economy,585.87,156,154,2025-05-25,07:31:17,2025-05-25,11:49:51
QA763,Jakarta,CGK,Madrid,MAD,8792,Singapore Airlines,Boeing 787,Business,766.16,178,106,2025-03-13,03:54:58,2025-03-13,06:21:30
SI144,Sydney,SYD,Madrid,MAD,9536,Singapore Airlines,Boeing 737,Economy,117.81,190,125,2025-05-05,20:16:34,2025-05-05,22:55:30
EM121,Jakarta,CGK,New York,JFK,8585,Garuda Indonesia,Airbus A380,First Class,997.76,165,18,2025-05-26,11:13:59,2025-05-26,13:37:04
GA298,Jakarta,CGK,Sydney,SYD,10600,Garuda Indonesia,Boeing 787,Business,829.08,100,71,2025-06-02,20:20:37,2025-06-02,23:17:17
SI539,New York,JFK,Tokyo,HND,15518,Singapore Airlines,Boeing 737,First Class,979.66,113,28,2025-06-03,18:56:33,2025-06-03,23:15:11
SI377,Jakarta,CGK,Madrid,MAD,12442,AirAsia,Airbus A380,Economy,263.77,112,34,2025-03-28,23:35:13,2025-03-29,03:02:35
SI263,London,LHR,Madrid,MAD,13700,Garuda Indonesia,Boeing 777,First Class,910.89,140,31,2025-04-06,06:19:24,2025-04-06,10:07:44
SI764,London,LHR,New York,JFK,13355,Singapore Airlines,Boeing 787,Economy,279.1,200,96,2025-04-22,09:02:14,2025-04-22,12:44:49
EM482,Dubai,DXB,Jakarta,CGK,16623,Qatar Airways,Airbus A380,Business,829.01,110,100,2025-03-30,17:07:08,2025-03-30,21:44:11
AI205,London,LHR,Tokyo,HND,9669,Singapore Airlines,Boeing 737,Business,692.56,200,182,2025-05-12,02:38:37,2025-05-12,05:19:46
SI997,London,LHR,Dubai,DXB,14475,Emirates,Boeing 737,First Class,964.17,124,116,2025-04-05,12:04:08,2025-04-05,16:05:23
QA924,Tokyo,HND,New York,JFK,7970,Emirates,Airbus A320,First Class,986.21,127,86,2025-05-05,13:42:59,2025-05-05,15:55:49
EM167,Tokyo,HND,Dubai,DXB,13840,Emirates,Boeing 787,First Class,929.64,188,104,2025-05-14,03:35:44,2025-05-14,07:26:24
GA190,New York,JFK,Tokyo,HND,15929,Qatar Airways,Boeing 777,Business,717.3,117,85,2025-03-13,10:23:54,2025-03-13,14:49:23
GA397,Tokyo,HND,Dubai,DXB,16428,Garuda Indonesia,Airbus A380,Economy,146.38,135,32,2025-04-23,20:44:47,2025-04-24,01:18:35
EM344,Dubai,DXB,New York,JFK,15720,AirAsia,Airbus A320,Business,881.12,114,84,2025-03-24,14:12:59,2025-03-24,18:34:59
