FlightNumber,Departure,DepartureCode,Arrival,ArrivalCode,Duration,Airline,Aircraft,Category,Price,SeatCapacity,AvailableSeats,DepartureDate,DepartureHour,ArrivalDate,ArrivalHour
AI102,Sydney,SYD,New York,JFK,14437,Qatar Airways,Boeing 777,Business,748.3,105,22,2025-03-26,11:54:30,2025-03-26,15:55:07
EM263,Dubai,DXB,New York,JFK,14650,Singapore Airlines,Boeing 737,Premium_Economy,347.32,118,19,2025-03-20,23:55:01,2025-03-21,03:59:11
QA494,Dubai,DXB,Madrid,MAD,17010,AirAsia,Boeing 737,First_Class,909.93,137,57,2025-03-22,19:27:48,2025-03-23,00:11:18
GA724,Dubai,DXB,Tokyo,HND,13560,Garuda Indonesia,Boeing 787,Business,817.7,156,103,2025-03-24,08:30:20,2025-03-24,12:16:20
GA491,Madrid,MAD,Dubai,DXB,16050,Garuda Indonesia,Boeing 737,Economy,120.72,106,78,2025-03-27,16:34:00,2025-03-27,21:01:30
EM747,Dubai,DXB,Madrid,MAD,15557,Qatar Airways,Boeing 787,First_Class,906.74,164,157,2025-03-23,23:56:43,2025-03-24,04:16:00
GA789,Sydney,SYD,New York,JFK,10318,Emirates,Boeing 787,Business,843.38,163,152,2025-03-23,16:12:55,2025-03-23,19:04:53
AI460,Tokyo,HND,Jakarta,CGK,11320,Garuda Indonesia,Boeing 737,First_Class,961.84,172,62,2025-03-23,10:56:08,2025-03-23,14:04:48
GA640,Dubai,DXB,London,LHR,10309,Emirates,Boeing 777,Economy,126.95,122,96,2025-03-21,12:20:04,2025-03-21,15:11:53
QA857,Tokyo,HND,Sydney,SYD,16221,Garuda Indonesia,Boeing 737,First_Class,975.48,183,56,2025-03-17,20:45:28,2025-03-18,01:15:49
AI660,Dubai,DXB,Madrid,MAD,8171,Emirates,Boeing 777,First_Class,990.38,198,22,2025-03-20,17:58:53,2025-03-20,20:15:04
EM987,Tokyo,HND,Dubai,DXB,13392,Garuda Indonesia,Boeing 777,First_Class,916.66,149,141,2025-03-23,05:16:14,2025-03-23,08:59:26
EM445,Jakarta,CGK,New York,JFK,10056,Qatar Airways,Airbus A380,Economy,104.22,132,44,2025-03-15,14:31:01,2025-03-15,17:18:37
GA211,Tokyo,HND,Dubai,DXB,12931,Singapore Airlines,Airbus A320,Economy,139.52,159,51,2025-03-19,05:05:19,2025-03-19,08:40:50
GA758,Tokyo,HND,Jakarta,CGK,8628,Qatar Airways,Airbus A320,Premium_Economy,535.27,189,75,2025-03-20,22:40:26,2025-03-21,01:04:14
EM831,Sydney,SYD,New York,JFK,16514,Garuda Indonesia,Boeing 787,Business,612.5,100,36,2025-03-28,12:36:59,2025-03-28,17:12:13
EM568,Sydney,SYD,London,LHR,10091,Singapore Airlines,Airbus A380,Economy,212.66,181,80,2025-03-16,06:27:39,2025-03-16,09:15:50
QA619,New York,JFK,Jakarta,CGK,11616,AirAsia,Boeing 787,Economy,279.16,111,47,2025-03-26,13:45:19,2025-03-26,16:58:55
SI605,Madrid,MAD,Jakarta,CGK,9623,Garuda Indonesia,Boeing 787,Business,823.07,169,79,2025-03-26,12:05:30,2025-03-26,14:45:53
GA606,New York,JFK,Madrid,MAD,11094,Singapore Airlines,Boeing 777,Premium_Economy,327.31,111,72,2025-03-21,08:47:05,2025-03-21,11:51:59
QA493,New York,JFK,London,LHR,16235,Garuda Indonesia,Boeing 777,Premium_Economy,375.02,144,102,2025-03-22,22:27:44,2025-03-23,02:58:19
GA764,Sydney,SYD,London,LHR,10664,Singapore Airlines,Boeing 777,First_Class,913.56,200,147,2025-03-19,06:51:42,2025-03-19,09:49:26
SI238,Madrid,MAD,London,LHR,16031,Qatar Airways,Airbus A320,Economy,188.91,115,32,2025-03-16,15:27:34,2025-03-16,19:54:45
AI569,Jakarta,CGK,Tokyo,HND,14926,Qatar Airways,Boeing 737,Premium_Economy,469.29,167,165,2025-03-26,02:36:27,2025-03-26,06:45:13
GA490,London,LHR,New York,JFK,9863,Singapore Airlines,Boeing 737,Economy,139.8,108,90,2025-03-17,16:06:12,2025-03-17,18:50:35
SI816,London,LHR,Tokyo,HND,12966,Emirates,Boeing 777,Premium_Economy,302.33,171,105,2025-03-19,17:09:02,2025-03-19,20:45:08
QA733,Sydney,SYD,Madrid,MAD,11862,Singapore Airlines,Boeing 777,Business,643.67,130,43,2025-03-16,00:12:12,2025-03-16,03:29:54
SI172,London,LHR,Madrid,MAD,17750,Singapore Airlines,Boeing 777,Economy,289.66,137,119,2025-03-22,13:36:38,2025-03-22,18:32:28
GA662,Dubai,DXB,Jakarta,CGK,7989,Emirates,Boeing 737,Premium_Economy,315.16,157,11,2025-03-14,22:17:53,2025-03-15,00:31:02
GA568,Sydney,SYD,Jakarta,CGK,7313,Emirates,Airbus A380,Premium_Economy,510.05,153,22,2025-03-23,10:09:09,2025-03-23,12:11:02
GA150,Sydney,SYD,Jakarta,CGK,12609,Garuda Indonesia,Airbus A320,First_Class,957.71,144,43,2025-03-22,18:52:33,2025-03-22,22:22:42
EM179,Sydney,SYD,Jakarta,CGK,13762,Singapore Airlines,Airbus A320,First_Class,905.41,123,51,2025-03-20,21:27:18,2025-03-21,01:16:40
QA550,Sydney,SYD,London,LHR,12598,Garuda Indonesia,Airbus A380,First_Class,928.8,193,91,2025-03-27,13:55:23,2025-03-27,17:25:21
GA652,Jakarta,CGK,Tokyo,HND,15817,AirAsia,Airbus A320,Economy,204.6,196,56,2025-03-15,05:34:55,2025-03-15,09:58:32
QA425,Dubai,DXB,New York,JFK,17912,Garuda Indonesia,Boeing 777,First_Class,934.14,183,122,2025-03-23,19:29:56,2025-03-24,00:28:28
EM542,New York,JFK,London,LHR,17562,Garuda Indonesia,Boeing 737,Economy,276.13,144,79,2025-03-28,10:54:19,2025-03-28,15:47:01
AI273,Madrid,MAD,London,LHR,7790,Qatar Airways,Airbus A380,First_Class,963.68,175,111,2025-03-26,02:35:29,2025-03-26,04:45:19
AI668,Dubai,DXB,London,LHR,16290,Qatar Airways,Airbus A380,Business,606.78,179,88,2025-03-15,19:05:09,2025-03-15,23:36:39
EM309,Sydney,SYD,New York,JFK,16277,Singapore Airlines,Airbus A380,Premium_Economy,544.47,138,115,2025-03-16,02:28:11,2025-03-16,06:59:28
GA499,Madrid,MAD,London,LHR,15405,Emirates,Boeing 777,Economy,297.7,182,106,2025-03-23,00:54:37,2025-03-23,05:11:22
QA745,New York,JFK,Sydney,SYD,9165,Emirates,Boeing 737,Business,764.03,103,49,2025-03-23,02:17:04,2025-03-23,04:49:49
EM869,Tokyo,HND,Madrid,MAD,17700,Qatar Airways,Boeing 777,Economy,272.58,119,23,2025-03-26,15:02:44,2025-03-26,19:57:44
GA266,New York,JFK,Madrid,MAD,14626,Qatar Airways,Airbus A380,Economy,144.13,115,24,2025-03-20,01:13:17,2025-03-20,05:17:03
GA628,London,LHR,Tokyo,HND,11158,Singapore Airlines,Boeing 777,Premium_Economy,386.9,180,82,2025-03-15,04:44:08,2025-03-15,07:50:06
QA919,Jakarta,CGK,Madrid,MAD,9558,Garuda Indonesia,Boeing 777,First_Class,922.02,139,35,2025-03-28,20:39:18,2025-03-28,23:18:36
QA883,Tokyo,HND,Sydney,SYD,17907,Garuda Indonesia,Boeing 777,Economy,266.84,191,128,2025-03-15,10:45:18,2025-03-15,15:43:45
EM961,Jakarta,CGK,Madrid,MAD,13811,AirAsia,Boeing 737,Premium_Economy,485.76,113,53,2025-03-20,20:39:49,2025-03-21,00:30:00
QA615,Sydney,SYD,London,LHR,16952,Garuda Indonesia,Boeing 737,Economy,197.16,153,120,2025-03-28,02:21:01,2025-03-28,07:03:33
SI862,Sydney,SYD,New York,JFK,15363,Qatar Airways,Boeing 787,First_Class,952.51,173,140,2025-03-24,04:07:38,2025-03-24,08:23:41
EM357,Dubai,DXB,Sydney,SYD,17305,Emirates,Boeing 777,Economy,179.71,144,42,2025-03-29,05:24:44,2025-03-29,10:13:09
EM471,Tokyo,HND,New York,JFK,12732,Emirates,Boeing 777,Economy,105.38,153,39,2025-03-19,02:55:20,2025-03-19,06:27:32
AI640,Dubai,DXB,London,LHR,13977,Emirates,Airbus A380,Business,847.72,188,23,2025-03-17,21:20:11,2025-03-18,01:13:08
SI851,Dubai,DXB,London,LHR,8673,Singapore Airlines,Airbus A320,Premium_Economy,321.05,142,42,2025-03-24,01:00:02,2025-03-24,03:24:35
GA374,Tokyo,HND,New York,JFK,9142,Emirates,Boeing 777,Premium_Economy,319.22,114,58,2025-03-26,17:04:37,2025-03-26,19:36:59
EM154,Jakarta,CGK,Sydney,SYD,8009,Emirates,Boeing 737,Business,899.2,125,72,2025-03-17,08:33:14,2025-03-17,10:46:43
GA688,London,LHR,Dubai,DXB,12437,Qatar Airways,Boeing 737,Economy,119.87,182,111,2025-03-22,08:24:43,2025-03-22,11:52:00
AI957,Dubai,DXB,Madrid,MAD,10757,Emirates,Airbus A320,First_Class,967.41,174,53,2025-03-26,14:37:18,2025-03-26,17:36:35
GA471,Jakarta,CGK,Sydney,SYD,7497,AirAsia,Boeing 737,Premium_Economy,568.85,152,104,2025-03-17,02:44:11,2025-03-17,04:49:08
SI797,London,LHR,Dubai,DXB,9983,Singapore Airlines,Boeing 737,Business,755.02,130,56,2025-03-23,03:41:06,2025-03-23,06:27:29
SI698,New York,JFK,Madrid,MAD,11758,Emirates,Boeing 787,First_Class,921.93,101,57,2025-03-29,09:37:37,2025-03-29,12:53:35
SI135,Jakarta,CGK,Sydney,SYD,10984,Emirates,Boeing 777,Premium_Economy,448.28,188,184,2025-03-20,01:17:05,2025-03-20,04:20:09
QA456,Dubai,DXB,New York,JFK,9819,Singapore Airlines,Boeing 787,First_Class,913.7,194,193,2025-03-15,02:53:34,2025-03-15,05:37:13
GA218,Dubai,DXB,New York,JFK,17012,Singapore Airlines,Boeing 787,First_Class,990.85,177,156,2025-03-25,20:31:52,2025-03-26,01:15:24
QA411,Dubai,DXB,Sydney,SYD,17894,Emirates,Boeing 787,First_Class,959.0,143,101,2025-03-19,03:43:02,2025-03-19,08:41:16
AI225,Dubai,DXB,London,LHR,7325,Garuda Indonesia,Airbus A380,Premium_Economy,571.01,200,109,2025-03-25,00:44:29,2025-03-25,02:46:34
SI996,Dubai,DXB,Tokyo,HND,16471,Singapore Airlines,Airbus A320,Economy,118.4,179,150,2025-03-15,21:15:09,2025-03-16,01:49:40
EM340,New York,JFK,Madrid,MAD,16929,Singapore Airlines,Airbus A380,Economy,143.82,115,81,2025-03-22,00:50:30,2025-03-22,05:32:39
SI191,London,LHR,Madrid,MAD,17032,Emirates,Boeing 777,Premium_Economy,462.48,119,105,2025-03-20,21:47:53,2025-03-21,02:31:45
GA103,Tokyo,HND,London,LHR,13929,Garuda Indonesia,Boeing 777,Premium_Economy,493.4,185,158,2025-03-22,11:20:54,2025-03-22,15:13:03
EM302,Tokyo,HND,Dubai,DXB,17414,Qatar Airways,Airbus A320,Economy,178.76,154,100,2025-03-23,03:21:13,2025-03-23,08:11:27
EM826,Jakarta,CGK,Sydney,SYD,9420,AirAsia,Boeing 737,Economy,249.33,130,130,2025-03-24,02:28:35,2025-03-24,05:05:35
EM201,Jakarta,CGK,New York,JFK,15885,Garuda Indonesia,Boeing 777,Premium_Economy,510.9,183,126,2025-03-18,00:12:10,2025-03-18,04:36:55
SI635,Dubai,DXB,New York,JFK,7480,Qatar Airways,Airbus A320,Premium_Economy,535.84,165,30,2025-03-26,03:02:23,2025-03-26,05:07:03
GA304,Sydney,SYD,New York,JFK,11353,Emirates,Boeing 787,Economy,168.48,149,70,2025-03-23,23:43:45,2025-03-24,02:52:58
SI538,New York,JFK,Sydney,SYD,13207,AirAsia,Boeing 737,Business,805.89,177,67,2025-03-26,12:39:44,2025-03-26,16:19:51
SI356,Madrid,MAD,New York,JFK,13495,AirAsia,Airbus A380,Business,703.58,193,139,2025-03-19,13:41:49,2025-03-19,17:26:44
GA769,Jakarta,CGK,Madrid,MAD,8529,Garuda Indonesia,Airbus A380,Economy,189.41,188,56,2025-03-26,17:04:52,2025-03-26,19:27:01
GA771,New York,JFK,Sydney,SYD,16014,Qatar Airways,Boeing 737,Economy,167.45,184,22,2025-03-20,19:56:22,2025-03-21,00:23:16
QA187,Tokyo,HND,Madrid,MAD,11090,Emirates,Boeing 787,First_Class,971.12,169,69,2025-03-20,11:50:05,2025-03-20,14:54:55
EM722,Tokyo,HND,Sydney,SYD,13747,AirAsia,Boeing 777,Economy,222.22,169,51,2025-03-26,08:40:56,2025-03-26,12:30:03
QA154,Madrid,MAD,Sydney,SYD,17244,AirAsia,Boeing 737,Premium_Economy,412.34,171,106,2025-03-28,18:32:50,2025-03-28,23:20:14
EM478,Sydney,SYD,New York,JFK,13895,Garuda Indonesia,Boeing 787,First_Class,908.67,138,81,2025-03-25,21:31:35,2025-03-26,01:23:10
QA913,Tokyo,HND,Sydney,SYD,8129,AirAsia,Boeing 787,Premium_Economy,423.97,136,49,2025-03-28,09:30:34,2025-03-28,11:46:03
AI808,Madrid,MAD,Dubai,DXB,15771,Emirates,Airbus A320,Economy,291.63,152,40,2025-03-15,21:53:43,2025-03-16,02:16:34
AI781,Tokyo,HND,London,LHR,15805,AirAsia,Airbus A380,First_Class,914.5,195,146,2025-03-21,20:37:02,2025-03-22,01:00:27
GA635,Tokyo,HND,Sydney,SYD,16299,Qatar Airways,Airbus A320,Economy,233.82,138,46,2025-03-20,07:55:40,2025-03-20,12:27:19
AI231,Dubai,DXB,Jakarta,CGK,8925,Singapore Airlines,Boeing 737,Economy,208.02,174,151,2025-03-19,04:48:46,2025-03-19,07:17:31
QA533,Sydney,SYD,New York,JFK,12671,AirAsia,Airbus A320,Economy,212.91,182,175,2025-03-19,08:31:09,2025-03-19,12:02:20
GA637,New York,JFK,Sydney,SYD,10844,Emirates,Boeing 737,Economy,273.92,118,102,2025-03-14,18:39:09,2025-03-14,21:39:53
SI450,New York,JFK,Madrid,MAD,17356,Garuda Indonesia,Airbus A380,First_Class,931.02,176,25,2025-03-17,06:51:42,2025-03-17,11:40:58
AI610,Tokyo,HND,Sydney,SYD,9620,AirAsia,Boeing 777,Premium_Economy,518.97,130,80,2025-03-22,01:00:53,2025-03-22,03:41:13
SI628,Tokyo,HND,Sydney,SYD,10083,Singapore Airlines,Boeing 777,Business,609.21,144,140,2025-03-16,11:34:30,2025-03-16,14:22:33
SI482,London,LHR,New York,JFK,11575,Qatar Airways,Boeing 737,Business,865.07,130,18,2025-03-27,16:20:45,2025-03-27,19:33:40
SI838,London,LHR,Dubai,DXB,13438,Emirates,Boeing 787,First_Class,960.11,150,99,2025-03-20,18:02:32,2025-03-20,21:46:30
AI245,Dubai,DXB,Tokyo,HND,9854,Qatar Airways,Boeing 787,Premium_Economy,570.57,149,28,2025-03-21,04:18:17,2025-03-21,07:02:31
QA853,Madrid,MAD,Tokyo,HND,12498,Garuda Indonesia,Airbus A320,First_Class,943.02,143,55,2025-03-27,08:18:38,2025-03-27,11:46:56
GA467,Dubai,DXB,New York,JFK,8644,Singapore Airlines,Boeing 737,Economy,213.53,110,50,2025-03-25,21:21:40,2025-03-25,23:45:44
EM855,New York,JFK,Tokyo,HND,9020,Emirates,Airbus A320,First_Class,914.75,193,120,2025-03-28,17:16:02,2025-03-28,19:46:22
QA265,Jakarta,CGK,Madrid,MAD,10089,AirAsia,Airbus A320,Premium_Economy,460.69,153,25,2025-03-24,13:19:33,2025-03-24,16:07:42
EM764,Tokyo,HND,Jakarta,CGK,13916,Qatar Airways,Boeing 787,Economy,159.25,196,139,2025-03-16,23:50:23,2025-03-17,03:42:19
AI439,Madrid,MAD,Sydney,SYD,12369,Singapore Airlines,Boeing 777,Premium_Economy,353.2,140,140,2025-03-18,10:50:07,2025-03-18,14:16:16
EM158,Madrid,MAD,London,LHR,10257,Qatar Airways,Airbus A380,First_Class,995.53,144,113,2025-03-25,04:15:23,2025-03-25,07:06:20
QA693,Sydney,SYD,Tokyo,HND,14983,AirAsia,Boeing 737,First_Class,982.86,115,88,2025-03-23,22:45:33,2025-03-24,02:55:16
SI633,Tokyo,HND,Sydney,SYD,10387,AirAsia,Airbus A380,Economy,167.82,106,48,2025-03-28,21:31:26,2025-03-29,00:24:33
GA324,London,LHR,Jakarta,CGK,10499,Garuda Indonesia,Airbus A320,First_Class,921.13,133,55,2025-03-21,02:51:58,2025-03-21,05:46:57
EM393,Jakarta,CGK,New York,JFK,16871,Garuda Indonesia,Boeing 777,Business,802.52,178,11,2025-03-24,15:20:03,2025-03-24,20:01:14
GA226,London,LHR,Dubai,DXB,13068,Singapore Airlines,Boeing 787,Business,621.24,162,123,2025-03-28,21:10:51,2025-03-29,00:48:39
SI802,Sydney,SYD,London,LHR,11068,Qatar Airways,Boeing 737,Business,856.94,151,74,2025-03-29,05:56:25,2025-03-29,09:00:53
GA932,New York,JFK,Dubai,DXB,9504,Qatar Airways,Boeing 787,Premium_Economy,401.05,182,155,2025-03-19,16:02:17,2025-03-19,18:40:41
EM482,New York,JFK,London,LHR,7207,Qatar Airways,Airbus A320,Premium_Economy,445.3,145,84,2025-03-22,11:46:01,2025-03-22,13:46:08
GA445,Jakarta,CGK,New York,JFK,16883,AirAsia,Airbus A380,Business,869.8,119,56,2025-03-23,07:31:20,2025-03-23,12:12:43
QA459,Dubai,DXB,New York,JFK,8599,Garuda Indonesia,Boeing 787,Business,883.07,146,50,2025-03-17,07:48:42,2025-03-17,10:12:01
GA364,New York,JFK,Madrid,MAD,14160,Qatar Airways,Boeing 777,Business,837.13,161,142,2025-03-29,10:24:30,2025-03-29,14:20:30
AI937,London,LHR,Dubai,DXB,8686,Qatar Airways,Airbus A320,First_Class,960.56,154,30,2025-03-21,01:13:51,2025-03-21,03:38:37
SI830,Madrid,MAD,Tokyo,HND,8463,Emirates,Airbus A320,Economy,108.0,150,78,2025-03-27,03:54:53,2025-03-27,06:15:56
EM404,Dubai,DXB,London,LHR,11105,Qatar Airways,Airbus A380,Premium_Economy,503.89,121,45,2025-03-19,17:22:42,2025-03-19,20:27:47
GA903,New York,JFK,Sydney,SYD,7860,Qatar Airways,Airbus A380,First_Class,908.8,143,32,2025-03-24,02:58:52,2025-03-24,05:09:52
GA486,Jakarta,CGK,New York,JFK,9090,AirAsia,Boeing 777,Business,858.12,191,59,2025-03-21,16:23:11,2025-03-21,18:54:41
AI782,Jakarta,CGK,Dubai,DXB,15822,Garuda Indonesia,Airbus A380,Economy,131.69,132,113,2025-03-18,20:50:41,2025-03-19,01:14:23
AI776,New York,JFK,Tokyo,HND,11089,Qatar Airways,Airbus A380,Business,642.2,190,24,2025-03-18,20:39:17,2025-03-18,23:44:06
EM739,Jakarta,CGK,Tokyo,HND,16766,AirAsia,Airbus A380,First_Class,914.39,105,26,2025-03-24,18:57:05,2025-03-24,23:36:31
GA560,London,LHR,Dubai,DXB,9119,Qatar Airways,Boeing 737,Business,654.67,166,109,2025-03-24,20:00:10,2025-03-24,22:32:09
EM280,Tokyo,HND,Jakarta,CGK,12886,Emirates,Airbus A380,First_Class,980.35,129,13,2025-03-28,00:55:27,2025-03-28,04:30:13
GA308,London,LHR,Jakarta,CGK,8537,Emirates,Boeing 777,Business,774.82,193,37,2025-03-17,15:23:51,2025-03-17,17:46:08
AI695,New York,JFK,Madrid,MAD,12037,AirAsia,Airbus A380,Premium_Economy,435.1,162,162,2025-03-23,16:36:50,2025-03-23,19:57:27
QA728,Madrid,MAD,Dubai,DXB,17805,Qatar Airways,Boeing 737,Economy,154.99,189,164,2025-03-16,17:42:35,2025-03-16,22:39:20
QA877,New York,JFK,Tokyo,HND,9495,Singapore Airlines,Airbus A380,Business,754.23,175,46,2025-03-26,06:22:50,2025-03-26,09:01:05
